Category,Variants,Best_CAGR,Best_CAGR_uplift,Best_daily_t,Best_NW20_t,Minimum_search_adjusted_p
Combined candidate,17,0.4312319567223575,0.07349973413579503,3.088896912946201,2.928808007014874,0.14247669773635152
Static risk budgets,55,0.3871169191127479,0.029384696526185472,2.11821805268391,2.080540871821881,0.59254327563249
Volatility targeting,36,0.382091885951652,0.024359663365089546,2.109628824050773,1.988955549676693,0.596537949400799
Static grid search,500,0.4010569288436747,0.043324706257112267,2.000454786890091,2.0265906507224063,0.681757656458056
Alternative allocation,8,0.39800094992967394,0.04026872734311149,1.4104113500413047,1.434269205352656,0.9587217043941412
Leave-one-out,9,0.3981399802308072,0.04040775764424476,1.1656200342545195,1.2048165378203541,0.9933422103861518
Data-mined static grid,4,0.4010378230292879,0.04330560044272547,1.1045763666378878,1.0606649543611244,0.9933422103861518
Regime allocation,60,0.37971579720807824,0.02198357462151579,1.0119235042050845,1.0643209777566727,0.996005326231691
Simplification,1,0.36363278850039626,0.005900565913833811,0.8911257857296564,0.8914916162601966,1.0
Dynamic momentum allocation,60,0.36326215250044647,0.005529929913884013,0.3837385949645787,0.4192352249131374,1.0
,28,0.36782174188373706,0.01008951929717461,0.2950946321418706,0.2848887699084978,1.0
Leverage implementation,4,0.35878702163555753,0.001054799048995081,0.2086099250863217,0.19924549327365448,1.0
Drawdown allocation,9,0.34931252063984375,-0.008419701946718705,-0.3670685282259321,-0.39324829192466254,1.0
Pre-specified ensemble,1,0.3482756558404081,-0.00945656674615436,-0.4154898907346265,-0.4086948423838232,1.0
Dynamic tail-risk allocation,2,0.3132314195801522,-0.04450080300641024,-0.6417716291293681,-0.6164869463296747,1.0
Dynamic covariance allocation,13,0.3040778287020489,-0.05365439388451354,-0.7977475912449494,-0.7689537792209331,1.0
Dynamic expected-return allocation,4,0.3202984052827029,-0.03743381730385953,-0.802693862900883,-0.805620907427209,1.0
Equal-weight strategy ensemble,3,0.19998399711832882,-0.15774822546823364,-1.8224302113979591,-3.6349632950047193,1.0
Annual walk-forward strategy selection,4,0.19212081666912062,-0.16561140591744183,-1.8749062936948222,-3.5605453754592813,1.0
Additional systematic sleeve,48,0.007245234328667749,-0.3504869882578947,-2.9642133983882717,-4.123165105530151,1.0
Leveraged wrapper,6,-0.027420275542766936,-0.3851524981293294,-3.162028829946391,-4.219253063726374,1.0
Baseline,1,0.35773222258656245,0.0,,,
Unclassified,1,0.35773222258656245,0.0,,,
